Author,Site,Lon,Lat,Country,State_City,MAT_original,MAP_original,MAT,MAP,Elevation,SoilOrder_LEN_USDA_original,SoilOrder_LEN_USDA,Suborder,SoilOrder,SoilTextureClass,VegLocal,VegType_Species,VegTypeCode_Local_original,VegTypeCode_Local,VegTypeCodeStr_Local,clim_code_whittaker,clim_code,ParentMaterial,Slope,SlopePosition,Aspect,Abovegd_litterfall,DrainedClass,Core_Layer_Name,Hzn1,Hzn2,Hzn3,HorizonDesignation,Layer_top,Layer_bottom,Layer_top_norm,Layer_bottom_norm,ProfileID,ProfileZeroDesignation,d13C,D14C_BulkLayer_text,D14C_BulkLayer,D14C_err,14C_age,14C_age_sigma,TT,Terrace Age,FractionModern,FractionModern_sigma,SampleYear,Measurement_Year,BulkDensity_original,BulkDensity,SpecificSurfaceArea,PH_H2O,pct_C_original,pct_C,pct_N,CN,Cmass,sand_pct,silt_pct,clay_pct,cation_exch,Fe_d,Fe_o,Fep,Alp,Ald,Alo,Feo and Alo,Fep,Alp,Feo,Alo,Fed,Ald,Al,Fe,Fe-oxideMinerals,Smectite,nonxtalline,poorly_crystalline_aluminosilicate,noncrystalline_minerals_pct_weight,notes,reference,doi,title,USDA classificiation,Brazilian classification,FAO classification ,AMS lab ,number,avail P extr with HCl_H2SO4,Ext Ca_withKCl,Ext Mg_with_KCl,Ext Al _with_KCl
OêBrien_1986_Radiocarbon,lawn soil,174.9,-41.2,New-Zealand,Hutt Valley,,,12.56060606,1396.736364,140,,nan,,,,garden,,4,4,grassland,6,5,,,,,,,,,,,,10,20,10,20,300,top of mineral soil,,-63,-63,,1287,,,,93.3,,1985,,1.19,1.19,,,1.45,1.45,,,0.017255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OêBrien_1986_Radiocarbon,lawn soil,174.9,-41.2,New-Zealand,Hutt Valley,,,12.56060606,1396.736364,140,,nan,,,,garden,,4,4,grassland,6,5,,,,,,,,,,,,20,30,20,30,300,top of mineral soil,,-91,-91,,1853,,,,90.5,,1985,,1.36,1.36,,,1.07,1.07,,,0.014552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OêBrien_1986_Radiocarbon,lawn soil,174.9,-41.2,New-Zealand,Hutt Valley,,,12.56060606,1396.736364,140,,nan,,,,garden,,4,4,grassland,6,5,,,,,,,,,,,,30,40,30,40,300,top of mineral soil,,-110,-110,,2162,,,,88.6,,1985,,1.16,1.16,,,0.94,0.94,,,0.010904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OêBrien_1986_Radiocarbon,lawn soil,174.9,-41.2,New-Zealand,Hutt Valley,,,12.56060606,1396.736364,140,,nan,,,,garden,,4,4,grassland,6,5,,,,,,,,,,,,40,50,40,50,300,top of mineral soil,,-191,-191,,-596,,,,80.6,,1985,,1.23,1.23,,,0.62,0.62,,,0.007626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OêBrien_1986_Radiocarbon,under house,174.9,-41.2,New-Zealand,Hutt Valley,,,12.36893939,1346.854545,,,nan,,,,"under house, nothing following a dairy farm pasture",,4,4,grassland,6,5,,,,,,,,,,,,0,10,0,10,299,top of mineral soil,,-118,-118,,4404,124,,,88.1,,1956,,1.05,1.05,,,1.15,1.15,,,0.012075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OêBrien_1986_Radiocarbon,under house,174.9,-41.2,New-Zealand,Hutt Valley,,,12.36893939,1346.854545,,,nan,,,,"under house, nothing following a dairy farm pasture",,4,4,grassland,6,5,,,,,,,,,,,,10,20,10,20,299,top of mineral soil,,-126,-126,,4572,85,,,87.3,,1956,,1.04,1.04,,,1.08,1.08,,,0.011232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OêBrien_1986_Radiocarbon,under house,174.9,-41.2,New-Zealand,Hutt Valley,,,12.36893939,1346.854545,,,nan,,,,"under house, nothing following a dairy farm pasture",,4,4,grassland,6,5,,,,,,,,,,,,20,30,20,30,299,top of mineral soil,,-148,-148,,8096,109,,,85.1,,1956,,1.31,1.31,,,0.96,0.96,,,0.012576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OêBrien_1986_Radiocarbon,under house,174.9,-41.2,New-Zealand,Hutt Valley,,,12.36893939,1346.854545,,,nan,,,,"under house, nothing following a dairy farm pasture",,4,4,grassland,6,5,,,,,,,,,,,,30,40,30,40,299,top of mineral soil,,-206,-206,,9806,135,,,79.3,,1956,,1.21,1.21,,,0.54,0.54,,,0.006534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OêBrien_1986_Radiocarbon,under house,174.9,-41.2,New-Zealand,Hutt Valley,,,12.36893939,1346.854545,,,nan,,,,"under house, nothing following a dairy farm pasture",,4,4,grassland,6,5,,,,,,,,,,,,40,50,40,50,299,top of mineral soil,,-236,-236,,1009,,,,76.3,,1956,,1.3,1.3,,,0.42,0.42,,,0.00546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassey_1996RadC,"Whareroa, Hawera, North Island",174.3,-39.62,NewZealand,,14,1020,14,1020,91,And,And,Ochric andosol,Andisol,,"Cocksfoot, sweet vernal, ryegrass",,4,4,grassland,2,5,Fine andesitic ash,,,,,Well,,A,,,Ap,0,15,0,15,114,top of mineral soil,,43.2,43.2,,,,,,,,1960,,0.75,0.75,,6,10,10,0.82,,0.075,56,24,20,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
